City,Country,Lat,Lng,Date,Max Temp (F),Cloudiness,Humidity,Wind Speed
loei,th,17.42,101.5,1580007262,79.0,70,60,1.12
saint-philippe,re,-21.36,55.77,1580007262,73.4,90,83,9.17
kapaa,us,22.08,-159.32,1580007263,78.8,40,65,6.93
inta,ru,66.03,60.17,1580007263,-9.24,87,99,2.06
mataura,pf,-46.19,168.86,1580007263,77.65,64,58,0.58
castro,cl,-24.79,-50.01,1580007264,61.63,0,93,2.84
yellowknife,ca,62.46,-114.35,1580007264,10.4,90,85,6.93
thompson,ca,55.74,-97.86,1580007202,15.8,90,92,2.24
ewa beach,us,21.32,-158.01,1580007264,82.4,20,65,9.17
vaini,to,-21.2,-175.2,1580007264,80.6,75,88,13.87
russell,nz,32.35,-85.2,1580007265,46.4,1,80,3.36
avera,pf,33.19,-82.53,1580007265,45.0,1,75,8.05
neuquen,ar,-38.95,-68.06,1580007265,80.6,71,32,13.87
belushya guba,ru,71.97,102.5,1580007266,-23.94,22,96,2.64
khatanga,ru,23.83,84.12,1580007266,57.15,0,46,3.0
barwadih,in,20.52,-13.05,1580007205,70.45,100,24,9.01
atar,mr,5.33,103.14,1580007004,80.6,40,83,2.24
kuala terengganu,my,-33.93,18.42,1580007267,60.01,75,87,2.24
cape town,za,5.41,100.34,1580007094,86.0,20,66,6.93
amderma,ru,68.75,161.3,1580007219,-17.93,100,96,2.71
georgetown,sh,73.51,80.55,1580007268,-5.84,100,95,5.39
cherskiy,ru,-53.15,-70.92,1580007268,48.2,75,70,25.28
dikson,ru,-33.02,27.91,1580007268,73.45,38,84,20.69
punta arenas,cl,66.04,-17.34,1580007269,28.4,90,92,10.29
east london,za,47.6,-53.26,1580007269,19.0,5,78,16.11
husavik,is,-15.86,-38.88,1580007269,80.6,90,83,13.87
bay roberts,ca,47.67,-52.73,1580007244,19.0,5,78,16.11
belmonte,br,78.22,15.64,1580007270,1.4,7,54,2.06
nizhneyansk,ru,-54.8,-68.3,1580007055,46.4,75,75,23.04
torbay,ca,69.45,-133.04,1580007270,-13.0,90,75,25.28
longyearbyen,sj,70.63,147.92,1580007197,-22.23,100,86,5.99
ushuaia,ar,47.82,-79.87,1580007271,32.0,90,98,9.17
zhanatas,kz,-38.0,-57.56,1580007271,66.2,0,59,8.05
tuktoyaktuk,ca,-23.85,151.25,1580007271,86.0,75,62,12.75
chokurdakh,ru,-23.12,-134.97,1580007186,79.11,0,77,10.22
englehart,ca,-19.06,-169.92,1580007232,82.4,22,83,9.17
mar del plata,ar,-21.21,-159.78,1580007272,84.2,100,83,11.41
gladstone,au,47.34,5.01,1580007272,32.0,75,100,2.24
rikitea,pf,20.88,-156.68,1580006980,82.4,20,57,14.99
alofi,nu,77.48,-69.36,1580007273,-12.03,55,43,4.43
avarua,ck,-9.8,-139.03,1580007273,80.74,74,77,13.8
talant,fr,71.92,114.08,1580007273,-20.51,99,93,16.46
lahaina,us,61.99,5.14,1580007274,45.0,100,100,24.16
qaanaaq,gl,-35.72,150.18,1580007274,93.99,0,81,1.99
atuona,pf,68.22,-135.01,1580007274,-14.8,90,68,18.34
saskylakh,ru,-5.2,-35.46,1580007274,80.6,75,88,4.7
raudeberg,no,-20.32,118.57,1580007275,105.8,0,11,13.87
batemans bay,au,-20.52,57.52,1580007187,77.0,75,78,11.41
aklavik,ca,65.61,-37.64,1580007275,28.4,100,79,27.51
touros,br,20.89,-156.47,1580007275,82.4,20,57,14.99
port hedland,au,69.49,88.4,1580007276,5.0,75,77,11.18
souillac,mu,41.25,67.97,1580007276,32.97,100,86,4.59
tasiilaq,gl,-22.97,-42.03,1580007005,75.16,0,82,6.76
kahului,us,-42.78,147.06,1580007276,72.0,40,35,18.34
talnakh,ru,59.87,48.01,1580007277,11.7,100,94,7.85
chardara,kz,-34.53,20.04,1580007277,62.6,68,72,18.34
arraial do cabo,br,36.21,57.68,1580007277,32.16,15,70,5.32
new norfolk,au,43.37,-124.22,1580007277,55.99,90,100,4.7
maromitsa,ru,-33.59,26.89,1580007278,66.0,80,98,5.99
bredasdorp,za,32.67,-17.1,1580007278,57.2,20,71,4.7
sabzevar,ir,-0.95,122.79,1580007241,83.3,18,72,5.1
coos bay,us,-3.35,-64.71,1580007278,75.07,85,96,1.9
port alfred,za,30.48,-115.95,1580007279,39.0,0,23,7.0
ponta do sol,cv,40.84,22.78,1580007279,44.01,76,93,3.36
luwuk,id,42.87,-106.31,1580007089,35.6,75,59,14.99
tefe,br,42.6,-73.97,1580007000,39.2,90,100,3.36
san quintin,mx,32.93,10.45,1580007279,57.2,100,41,4.7
mikrokambos,gr,24.69,46.72,1580007280,42.8,0,60,16.11
casper,us,-46.28,169.85,1580007280,68.0,5,65,10.45
albany,au,23.46,116.77,1580007280,57.2,75,100,6.71
tatawin,tn,39.6,-110.81,1580007281,33.01,90,85,3.36
riyadh,sa,47.91,106.88,1580007004,-7.6,0,76,4.36
mys shmidta,ru,-34.42,19.23,1580007193,57.0,83,98,7.0
kaitangata,nz,6.12,81.12,1580007252,77.0,40,88,12.75
chenghai,cn,-0.6,73.08,1580007282,82.49,100,77,9.75
price,us,36.37,6.61,1580007282,41.0,75,75,2.24
ulaanbaatar,mn,19.73,-155.09,1580007194,80.6,90,57,3.36
hermanus,za,37.72,-25.43,1580007282,57.2,40,82,3.36
hambantota,lk,5.35,48.53,1580007004,77.79,100,81,10.33
hithadhoo,mv,42.42,-122.83,1580007263,50.0,90,93,3.09
constantine,dz,50.95,46.97,1580007283,27.82,37,84,17.69
hilo,us,-9.66,120.26,1580007283,83.86,61,74,6.71
vila franca do campo,pt,-30.18,-50.21,1580007192,75.56,74,68,14.32
hobyo,so,-2.92,-39.92,1580007284,77.0,90,95,4.54
jackson,us,54.9,-1.38,1580007284,45.0,75,100,9.17
krasnyy kut,ru,64.84,-147.72,1580007194,-9.99,1,74,6.04
waingapu,id,-10.07,-78.15,1580007285,76.44,100,62,4.16
cidreira,br,26.91,70.92,1580007285,64.92,0,29,8.3
itarema,br,59.7,30.79,1580007286,30.99,20,86,4.47
sunderland,gb,66.32,-179.17,1580007286,-5.75,67,89,4.85
fairbanks,us,57.79,-152.41,1580007192,17.6,90,61,19.46
huarmey,pe,-33.65,115.33,1580007286,91.99,97,29,5.23
jaisalmer,in,65.82,87.98,1580007006,1.63,98,96,5.53
sentyabrskiy,ru,-20.34,57.76,1580007287,77.0,75,78,11.41
saleaula,ws,-0.88,131.25,1580007287,90.16,79,58,3.76
nikolskoye,ru,-6.22,155.63,1580007205,84.7,17,72,8.59
egvekinot,ru,-17.71,-39.25,1580007288,79.09,100,84,19.69
kodiak,us,69.7,170.31,1580007288,-9.44,100,96,0.45
busselton,au,-42.88,147.33,1580007286,72.0,40,35,18.34
turukhansk,ru,55.1,-105.28,1580007288,23.0,90,92,6.93
bambous virieux,mu,3.07,172.79,1580007200,85.51,100,72,9.89
sorong,id,62.23,-6.59,1580007232,44.6,100,93,19.46
kieta,pg,-21.64,-41.05,1580007289,73.27,100,90,5.39
caravelas,br,34.17,77.58,1580007289,-4.67,100,89,4.21
pevek,ru,22.89,-109.91,1580007290,69.01,75,77,3.36
hobart,au,-0.36,42.55,1580007290,80.13,67,88,9.98
la ronge,ca,-12.04,-77.03,1580007267,73.4,75,88,16.11
butaritari,ki,50.72,136.63,1580007291,-3.3,0,91,4.47
klaksvik,fo,26.12,127.67,1580007291,73.4,75,94,14.99
samusu,ws,25.77,73.33,1580007291,64.49,0,36,3.56
sao joao da barra,br,71.29,-156.79,1580007292,-20.2,75,75,9.17
leh,in,32.12,20.07,1580007292,55.08,59,59,17.94
illoqqortoormiut,gl,17.08,122.42,1580007292,76.06,96,83,5.46
cabo san lucas,mx,18.97,-101.82,1580007292,62.6,75,55,4.32
kismayo,so,-0.74,-90.35,1580007293,77.0,54,34,1.01
lima,pe,20.2,1.01,1580007293,71.49,92,11,8.68
tsihombe,mg,64.86,11.24,1580007293,42.01,100,95,27.22
solnechnyy,ru,-19.84,34.84,1580007293,73.4,54,94,4.7
itoman,jp,35.57,53.4,1580007294,31.14,0,57,2.59
pali,in,9.97,-71.15,1580007294,75.87,0,84,1.81
barrow,us,50.68,156.12,1580007279,18.86,100,92,40.24
benghazi,ly,41.37,-73.41,1580007278,46.99,90,100,3.36
dicabisagan,ph,65.99,57.53,1580007295,-10.97,91,100,1.1
la huacana,mx,-15.77,128.73,1580007295,91.4,66,52,1.12
puerto ayora,ec,-15.2,12.15,1580007210,74.68,69,74,12.53
tessalit,ml,58.66,37.26,1580007296,24.85,100,89,10.16
rorvik,no,36.62,-121.92,1580007296,59.0,40,93,6.93
beira,mz,64.18,-51.72,1580007296,14.0,100,72,6.93
yanan,cn,-13.7,-76.22,1580007297,73.4,90,83,17.22
semnan,ir,34.98,139.87,1580007297,42.01,75,93,9.17
bachaquero,ve,60.72,-46.03,1580007297,12.2,89,72,5.82
urdzhar,kz,43.37,23.48,1580007298,42.39,0,77,1.9
severo-kurilsk,ru,64.86,-147.8,1580007298,-9.99,1,74,4.59
bethel,us,35.73,140.83,1580007298,43.0,75,93,8.05
usinsk,ru,70.47,-68.59,1580007298,-23.8,75,67,14.99
kununurra,au,39.89,4.27,1580007299,55.4,70,93,6.93
namibe,ao,-16.78,47.65,1580007299,67.41,98,88,4.61
vesyegonsk,ru,11.0,122.67,1580007299,84.15,31,73,5.21
pacific grove,us,11.28,-15.83,1580007299,77.86,92,70,7.76
nuuk,gl,53.05,158.65,1580007300,28.4,40,68,4.47
pisco,pe,-35.17,173.17,1580007300,69.64,94,84,15.66
tateyama,jp,-37.62,-73.65,1580007207,61.23,0,85,7.78
qaqortoq,gl,43.8,87.6,1580007300,3.2,42,84,2.24
jahrom,ir,71.69,128.87,1580007301,-28.1,0,67,5.19
krivodol,bg,63.44,-20.27,1580007301,33.46,100,96,15.32
college,us,-33.87,121.9,1580007301,80.6,95,44,5.82
hasaki,jp,57.31,88.17,1580007301,15.03,100,92,9.93
clyde river,ca,-33.92,25.57,1580007301,68.0,40,88,21.92
mahon,es,46.42,3.91,1580007302,44.01,100,92,2.21
tsaratanana,mg,-2.67,141.3,1580007302,83.39,61,82,16.02
dingle,ie,58.52,-117.14,1580007302,21.2,90,92,4.7
bubaque,gw,8.87,5.42,1580007302,65.55,5,16,2.48
petropavlovsk-kamchatskiy,ru,47.52,19.75,1580007303,30.99,90,100,4.7
ahipara,nz,6.88,73.1,1580007303,82.02,100,65,4.36
lebu,cl,68.05,166.44,1580007303,-3.91,100,89,5.28
urumqi,cn,33.07,107.03,1580007303,39.88,0,61,3.83
tiksi,ru,68.35,-133.72,1580007191,-14.8,90,68,18.34
vestmannaeyjar,is,-24.87,113.63,1580007070,84.2,13,58,19.46
esperance,au,-6.6,147.87,1580007304,84.49,8,69,1.43
teguldet,ru,-22.67,167.48,1580007304,77.95,91,79,15.61
port elizabeth,za,-15.92,-46.11,1580007305,69.71,79,97,2.77
saint-francois,gp,40.28,97.2,1580007305,20.57,0,61,1.07
vanimo,pg,22.75,108.48,1580007305,50.0,40,71,11.18
high level,ca,-45.87,-67.5,1580007165,73.4,0,35,28.86
lafiagi,ng,20.5,-10.07,1580007306,73.99,100,23,10.58
szentlorinckata,hu,39.05,-27.98,1580007306,57.72,100,65,8.63
dhidhdhoo,mv,-46.6,168.33,1580007306,66.49,57,52,8.52
bilibino,ru,61.75,48.54,1580007307,3.36,100,96,4.5
hanzhong,cn,14.72,-92.42,1580007307,78.8,20,88,2.24
inuvik,ca,-8.93,125.41,1580007307,82.2,48,63,3.29
carnarvon,au,11.67,92.75,1580007233,77.85,78,70,13.78
finschhafen,pg,22.29,114.16,1580007151,62.01,40,87,10.29
vao,nc,-9.43,159.95,1580007308,89.6,20,66,6.93
arinos,br,4.88,-1.76,1580007308,74.59,53,92,1.61
yumen,cn,65.28,-126.83,1580007308,-13.0,20,62,13.87
pumiao,cn,9.35,42.8,1580007309,61.03,100,86,13.82
comodoro rivadavia,ar,20.17,-101.58,1580007309,60.8,75,44,4.7
adrar,dz,-31.41,-64.18,1580007228,82.0,0,68,3.36
taolanaro,mg,-34.0,24.73,1580007309,64.71,89,87,22.73
lagoa,pt,65.58,-171.0,1580007310,-13.47,0,77,3.15
bluff,nz,-27.01,27.36,1580007310,60.89,0,86,6.4
urdoma,ru,48.92,2.33,1580007310,41.0,62,93,3.36
tabiauea,ki,-34.73,135.87,1580007311,74.1,32,54,10.18
puerto madero,mx,9.18,7.18,1580007311,66.78,37,17,3.42
airai,pw,63.05,179.32,1580007311,14.74,100,85,5.86
port blair,in,18.74,7.39,1580007311,64.99,0,11,8.28
victoria,sc,60.14,-45.24,1580007312,23.34,100,75,16.98
honiara,sb,14.92,120.55,1580007312,87.01,75,66,4.7
takoradi,gh,57.05,-135.33,1580007313,46.4,90,70,24.16
norman wells,ca,-22.12,14.28,1580007313,62.01,0,96,2.66
jijiga,et,71.04,27.85,1580007313,18.21,100,76,20.45
villachuato,mx,24.09,32.91,1580007313,46.38,0,78,10.54
cordoba,ar,36.77,-4.1,1580007313,52.0,40,93,3.36
kruisfontein,za,52.18,21.57,1580007314,36.0,90,80,3.36
lavrentiya,ru,64.25,-15.21,1580007224,38.97,82,86,16.04
vredefort,za,42.1,-79.24,1580007314,33.8,90,97,6.93
saint-denis,re,18.45,-100.98,1580007314,76.86,100,47,3.4
nguiu,au,54.43,113.6,1580007315,4.59,60,84,1.63
port lincoln,au,46.08,7.08,1580007315,36.0,46,92,5.82
suleja,ng,20.45,121.97,1580007315,79.38,85,79,18.59
beringovskiy,ru,36.68,-121.66,1580007315,61.0,90,93,4.7
arlit,ne,45.76,106.27,1580007316,15.35,0,67,10.42
louisbourg,ca,6.5,2.6,1580007316,73.4,21,73,4.7
nanortalik,gl,27.98,-114.06,1580007316,62.11,0,78,9.37
lubao,cd,37.08,41.22,1580007316,35.6,0,47,3.36
sumbawa,id,40.6,-124.16,1580007252,59.0,90,87,10.29
sitka,us,-41.41,175.52,1580007317,77.0,31,61,21.92
henties bay,na,32.38,15.09,1580007317,63.91,99,44,13.11
mehamn,no,0.33,-79.47,1580007317,73.6,100,94,1.41
aswan,eg,-20.01,57.66,1580007310,77.0,75,78,11.41
velez-malaga,es,37.1,-113.58,1580007318,55.4,1,54,0.96
minsk mazowiecki,pl,53.45,108.98,1580007318,7.14,100,80,2.44
hofn,is,31.22,29.96,1580007119,50.0,40,87,3.36
jamestown,sh,-0.03,109.33,1580007094,86.0,75,74,3.36
zirandaro,mx,69.41,86.18,1580007319,5.0,75,77,11.18
bagdarin,ru,72.79,-56.15,1580007279,-14.24,100,94,7.61
martigny,ch,-11.1,-77.61,1580007320,74.28,100,71,5.99
basco,ph,-8.58,13.66,1580007320,80.6,40,78,2.24
salinas,mx,-14.41,-56.45,1580007320,73.18,100,92,3.8
mandalgovi,mn,18.9,-3.53,1580007320,75.78,100,9,7.18
porto novo,cv,43.92,46.71,1580007320,34.43,0,69,10.2
guerrero negro,mx,47.8,67.71,1580007321,17.6,90,92,20.13
nusaybin,tr,50.7,-127.42,1580007321,46.4,90,81,23.04
fortuna,us,42.25,-75.83,1580007321,35.01,90,99,6.93
karaul,ru,56.0,8.13,1580007321,44.01,100,93,6.93
waipawa,nz,7.98,49.82,1580007322,78.76,9,80,20.2
misratah,ly,61.95,159.23,1580007322,15.19,100,87,21.16
rosa zarate,ec,10.57,72.64,1580007322,78.8,20,83,2.28
grand gaube,mu,15.74,-96.47,1580007310,80.6,40,78,6.38
saint george,bm,34.64,-120.46,1580007323,59.0,90,93,8.05
ust-barguzin,ru,49.1,16.38,1580007323,32.0,90,92,4.7
alexandria,eg,18.22,-63.06,1580007324,78.01,75,83,3.36
pontianak,id,47.79,-64.94,1580007141,16.0,1,84,2.24
dudinka,ru,41.59,9.28,1580007324,48.2,100,93,4.7
juifang,tw,17.02,54.09,1580007202,77.0,75,78,3.36
upernavik,gl,34.48,41.91,1580007325,41.49,0,71,8.68
hualmay,pe,-33.83,148.68,1580007325,81.0,0,61,1.99
caxito,ao,-14.78,24.8,1580007325,61.2,0,97,4.45
diamantino,br,64.38,-173.3,1580007308,-5.44,0,69,3.4
araouane,ml,-21.67,-45.92,1580007326,60.8,0,89,2.08
pervomayskoye,ru,-18.37,21.85,1580007326,68.59,0,66,3.38
zhezkazgan,kz,69.22,-51.1,1580007203,8.6,92,46,10.29
port hardy,ca,16.78,94.73,1580007327,75.15,41,50,7.74
broome,au,-35.1,173.78,1580007327,82.99,5,72,8.01
hvide sande,dk,50.77,8.57,1580007327,34.0,90,100,4.7
eyl,so,38.52,-28.7,1580007327,54.21,99,74,5.59
evensk,ru,-34.2,142.15,1580007169,87.01,0,30,6.93
kavaratti,in,-35.33,-72.42,1580007223,63.21,0,67,5.7
pochutla,mx,51.32,42.77,1580007328,30.99,3,83,11.01
kegayli,uz,-33.7,-53.46,1580007328,65.59,3,80,5.46
wulanhaote,cn,-33.01,17.94,1580007329,59.0,83,93,8.05
lompoc,us,18.47,120.58,1580007329,80.6,75,88,4.7
ivancice,cz,47.53,25.4,1580007329,24.22,6,95,4.5
the valley,ai,41.0,-115.5,1580007329,39.2,20,69,2.71
caraquet,ca,-13.88,167.55,1580007330,83.3,63,75,10.25
porto-vecchio,fr,43.27,-7.54,1580007330,48.0,35,93,8.05
salalah,om,21.46,-71.14,1580007222,76.39,0,74,12.33
rawah,iq,13.08,109.3,1580007330,77.04,100,79,3.53
cowra,au,-3.33,128.92,1580007330,83.23,100,75,4.23
kaoma,zm,-37.83,140.77,1580007331,68.0,90,64,14.99
provideniya,ru,20.96,-75.72,1580007209,68.0,0,94,1.12
machado,br,18.39,42.45,1580007331,46.4,20,70,6.93
shakawe,bw,5.21,103.21,1580007331,80.6,40,83,2.24
ilulissat,gl,29.13,15.95,1580007332,55.09,80,31,3.76
pathein,mm,-34.92,-57.95,1580007332,81.0,55,54,10.29
kaeo,nz,31.33,-109.95,1580007332,55.0,1,62,6.93
gladenbach,de,68.82,-51.19,1580007332,8.6,92,46,10.29
ribeira grande,pt,20.87,-90.4,1580007333,73.42,0,79,21.14
mildura,au,33.37,-112.58,1580007189,64.99,1,42,5.82
constitucion,mx,-6.43,-43.98,1580007333,73.24,100,82,1.59
kamenka,ru,-46.13,167.68,1580007333,65.64,98,51,4.76
chuy,uy,-1.95,18.27,1580007334,70.93,39,43,1.3
saldanha,za,-3.9,-38.39,1580007064,86.0,20,79,9.17
davila,ph,43.52,-8.15,1580007334,48.0,52,93,8.05
fundu moldovei,ro,-8.01,-34.86,1580007237,82.4,40,78,8.05
elko,us,54.72,135.31,1580007335,-4.05,0,73,19.35
